#	Id	ClassId	NameStringId	LevelDesignGroupId		MissionGroupPresetId	MissionGrooupIndex					MissionLV		UIDisplayType	CanReDoThisMission	RegularMissonPresetId	ChildrenMissionPresetId1	ChildrenMissionPresetId2	ChildrenMissionPresetId3	ChildrenMissionPresetId4	LevelDesignID	MainID	SubID	StartMissionScript 	EndMissionScript	BelongToMissionId	MissionItemIdOnAcceptMission1	MissionItemCountOnAcceptMission1	MissionItemIdOnAcceptMission2	MissionItemCountOnAcceptMission2	MissionItemIdOnAcceptMission3	MissionItemCountOnAcceptMission3	MissionItemIdOnAcceptMission4	MissionItemCountOnAcceptMission4	AcceptMissionNPCID		AcceptMissionLevelDesignId		ReturnMissionNPCID	ReturnMissionPosition		ReturnMissionLevelDesignId		CompleteMissionCausalityStringStartId	CompleteMissionCausalityStringEndId	MissionTargetStringId	MissionTargetLevelDesignId	MissionTargetPosition	MissionDescStringID	AcceptConversationID	UnFinishMissionAcceptID	UnFinishMissionReturnID	ReturnConversationID	RewardExp			RewardGP	RewardPrestige	RewardSkillId	RewardLimit	RewardID1	RewardCount1	RewardRate1	RewardID2	RewardCount2	RewardRate2	RewardID3	RewardCount3	RewardRate3	RewardID4	RewardCount4	RewardRate4	RewardID5	RewardCount5	RewardRate5	Visible	GfxId	AutoShare	bMainMission							
#	Id																																																									30%																						21					20	
#	Id	Class 編號	名稱StringID	關卡群組	任務名稱（10字）	屬於哪一個任務群組	在任務群組的第幾個順位	所在關卡(動物城)	任務類型	人數類型	重接	任務樹承接等級顯示	任務難度等級	UI顯示類別	是否可以重覆解	制式任務追蹤編號	附屬子任務1	附屬子任務2	附屬子任務3	附屬子任務4	開啟LevelDesign	主標記	副標記	開始Script	結束Script 	"所屬任務
(步驟)"	承接任務時獲得的物品編號1	承接任務時獲得的物品數量1	承接任務時獲得的物品編號2	承接任務時獲得的物品數量2	承接任務時獲得的物品編號3	承接任務時獲得的物品數量3	承接任務時獲得的物品編號4	承接任務時獲得的物品數量4	接任務NPC	接任務NPC	接任務地點	接任務地點	還任務NPC	"任務追蹤
還任務NPC座標"	還任務NPC	還任務地點	還任務地點	任務目標String起始編號	任務目標String結尾編號	"任務追蹤
任務對象String"	"任務追蹤
對象所在關卡"	"任務追蹤
對象座標"	任務描述	接任務對話	任務提示(接取NPC)	任務提示(回報NPC)	還任務對話	獎勵Exp	修正以前獎勵Exp	任務種類備註	獎勵 GP	獎勵聲望	獎勵 技能	獎勵物品數量上限	"獎勵1物品
裝備飾品"	獎勵1數量	獎勵1機率	"獎勵2物品
藥水"	獎勵2數量	獎勵2機率	"獎勵3物品
武卷卷軸"	獎勵3數量	獎勵3機率	"獎勵4物品
防卷卷軸"	獎勵4數量	獎勵4機率	"獎勵5物品
傳卷復活"	獎勵5數量	獎勵5機率	顯示	圖檔	自動分享	主線與否	任務所需時間(秒)	目標怪物EXP	怪物擊殺目標隻數	殺夠怪物須過關次數	單級關卡GP參考	獎勵GP計算	原始排序
	17	9300	2000017	9	擊倒戰熊 	0	0	LV 11  迷霧的逆襲	副本重複：其他（對話、跑腿）	1	是	30	30	0	1	17						17	0												40003	兔城任務	3	第一主城	40003	4060 0 1830	兔城任務	3	第一主城	8000017	8000017	8040029				8020049	8020050		8020051	7448	706	副本	5175	5214		1	30002	4	8000	30008	4	8000	30022	1	1000	30023	1	1000	30029	1	5000					240	"1,541"	10	4	"334,602"	"16,730"	18
	18	9300	2000018	10	擊倒野蠻黃兔隊長	0	0	LV 14  兔城攻防會戰	副本重複：殺怪數	1	是	30	30	0	1	18						18	0												40003	兔城任務	3	第一主城	40003	4060 0 1830	兔城任務	3	第一主城	8000018	8000018	8040029				8020052	8020053		8020054	3726	7309	副本	321	2608		1	30002	4	8000	30008	4	8000	30022	1	1000	30023	1	1000	30029	1	5000					240	"3,726"	10	1	"334,602"	"16,730"	19
	19	9300	2000019	10	擊倒毒氣胖達	0	0	LV 14  兔城攻防會戰	副本重複：殺怪數	1	是	30	30	0	1	19						19	0												40003	兔城任務	3	第一主城	40003	4060 0 1830	兔城任務	3	第一主城	8000019	8000019	8040029				8020055	8020056		8020057	1693	1820	副本	804	1185		1	30002	4	8000	30008	4	8000	30022	1	1000	30023	1	1000	30029	1	5000					30	"16,926"	1	1	"334,602"	"16,730"	20
	20	9300	2000020	12	擊敗小青藍象	0	0	LV  20酷熱谷的磨練	副本重複：殺怪數	1	是	35	35	0	1	20						20	0												40004	象城任務	2001	第二主城	40004	2140 0 2070	象城任務	2001	第二主城	8000020	8000020	8040029				8020058	8020059		8020060	1922	3584	副本	254	1345		1	30003	3	8000	30009	3	8000	30022	1	1000	30023	1	1000	30029	2	5000					120	961	20	1	"623,589"	"31,180"	21
	21	9300	2000021	12	尋獲寶箱	0	0	LV  20酷熱谷的磨練	副本重複：其他（對話、跑腿）	1	是	35	35	0	1	21						21	0												40004	象城任務	2001	第二主城	40004	2140 0 2070	象城任務	2001	第二主城	8000021	8000021	8040029				8020061	8020062		8020063	9854	9702	副本	1392	6898		1	30003	3	8000	30009	3	8000	30022	1	1000	30023	1	1000	30029	2	5000					30	0	1	1	"623,589"	"31,180"	22
	22	9300	2000022	14	擊敗咕咕	0	0	LV 22  泥漿山城戰	副本重複：殺怪數（多次）	1	是	35	35	0	1	22						22	0												40004	象城任務	2001	第二主城	40004	2140 0 2070	象城任務	2001	第二主城	8000022	8000022	8040029				8020064	8020065		8020066	78120	16640	副本	1320	54684		1	30003	3	8000	30009	3	8000	30022	1	1000	30023	1	1000	30029	2	5000					600	"1,302"	100	11	"623,589"	"31,180"	23
	23	9300	2000023	14	擊敗熱血頑童	0	0	LV 22  泥漿山城戰	副本重複：殺怪數（多次）	1	是	35	35	0	1	23						23	0												40004	象城任務	2001	第二主城	40004	2140 0 2070	象城任務	2001	第二主城	8000023	8000023	8040029				8020067	8020068		8020069	78120	17400	副本	1160	54684		1	30003	3	8000	30009	3	8000	30022	1	1000	30023	1	1000	30029	2	5000					600	"1,302"	100	11	"623,589"	"31,180"	24
	24	9300	2000024	15	擊敗變色小藍龍	0	0	LV 25  神木密林追擊戰	副本重複：殺怪數（多次）	1	是	35	35	0	1	24						24	0												40004	象城任務	2001	第二主城	40004	2140 0 2070	象城任務	2001	第二主城	8000024	8000024	8040029				8020070	8020071		8020072	5009	5220	副本	348	3506		1	30003	3	8000	30009	3	8000	30022	1	1000	30023	1	1000	30029	2	5000					180	"1,113"	30	2	"623,589"	"31,180"	25
	25	9300	2000025	15	擊敗變色小綠龍	0	0	LV 25  神木密林追擊戰	副本重複：殺怪數（多次）	1	是	35	35	0	1	25						25	0												40004	象城任務	2001	第二主城	40004	2140 0 2070	象城任務	2001	第二主城	8000025	8000025	8040029				8020073	8020074		8020075	6678	5220	副本	348	4675		1	30003	3	8000	30009	3	8000	30022	1	1000	30023	1	1000	30029	2	5000					180	"1,113"	30	3	"623,589"	"31,180"	26
	26	9300	2000026	17	擊敗獨火星	0	0	LV 27  城外高原急襲戰	副本重複：殺怪數（多次）	1	是	35	35	0	1	26						26	0												40004	象城任務	2001	第二主城	40004	2140 0 2070	象城任務	2001	第二主城	8000026	8000026	8040029				8020076	8020077		8020078	46751	16120	副本	5554	32726		1	30003	3	8000	30009	3	8000	30022	1	1000	30023	1	1000	30029	2	5000					180	"10,389"	15	5	"623,589"	"31,180"	27
	27	9300	2000027	17	擊敗毛頭星	0	0	LV 27  城外高原急襲戰	副本重複：殺怪數（多次）	1	是	35	35	0	1	27						27	0												40004	象城任務	2001	第二主城	40004	2140 0 2070	象城任務	2001	第二主城	8000027	8000027	8040029				8020079	8020080		8020081	46751	16120	副本	5554	32726		1	30003	3	8000	30009	3	8000	30022	1	1000	30023	1	1000	30029	2	5000					180	"10,389"	15	5	"623,589"	"31,180"	28
	28	9300	2000028	13	收集掉落的熱包子	0	0	LV 22  城門內游擊戰	副本重複：其他（對話、跑腿）	1	是	35	35	0	1	28						28	0		Mission28End										40004	象城任務	2001	第二主城	40004	2140 0 2070	象城任務	2001	第二主城	8000028	8000028	8040029				8020082	8020083		8020084	9854	38600	副本	5910	6898		1	30003	3	8000	30009	3	8000	30022	1	1000	30023	1	1000	30029	2	5000					100	0	10	3	"623,589"	"31,180"	29
	29	9300	2000029	13	擊敗粉象糧軍長	0	0	LV 22  城門內游擊戰	副本重複：殺怪數（多次）	1	是	35	35	0	1	29						29	0												40004	象城任務	2001	第二主城	40004	2140 0 2070	象城任務	2001	第二主城	8000029	8000029	8040029				8020085	8020086		8020087	37872	22310	副本	8923	26510		1	30003	3	8000	30009	3	8000	30022	1	1000	30023	1	1000	30029	2	5000					300	"12,624"	10	5	"623,589"	"31,180"	30
	30	9300	2000030	16	擊敗叛逆頑童	0	0	LV 25  過5關斬6將之戰	副本重複：殺怪數（多次）	1	是	40	40	0	1	30						30	0												40004	象城任務	2001	第二主城	40004	2140 0 2070	象城任務	2001	第二主城	8000030	8000030	8040029				8020088	8020089		8020090	99280	20860	副本	1070	69496		1	30003	3	8000	30009	3	8000	30022	1	1000	30023	1	1000	30029	2	5000					600	"2,482"	100	7	"1,115,686"	"55,780"	31
	31	9300	2000031	16	擊敗西瓜象天王	0	0	LV 25  過5關斬6將之戰	副本重複：殺怪數（多次）	1	是	40	40	0	1	31						31	0												40004	象城任務	2001	第二主城	40004	2140 0 2070	象城任務	2001	第二主城	8000031	8000031	8040029				8020091	8020092		8020093	83793	25303	副本	8343	58655		1	30003	6	8000	30009	6	8000	30022	1	1000	30023	1	1000	30029	2	5000					120	"15,235"	10	10	"1,115,686"	"55,780"	32
	32	9300	2000032	18	擊敗爆鬥坦克象	0	0	LV 27  潛入戰	副本重複：殺怪數（多次）	1	是	40	40	0	1	32						32	0												40004	象城任務	2001	第二主城	40004	2140 0 2070	象城任務	2001	第二主城	8000032	8000032	8040029				8020094	8020095		8020096	59160	29792	副本	6670	41412		1	30003	6	8000	30009	6	8000	30022	1	1000	30023	1	1000	30029	2	5000					300	"7,888"	25	5	"1,115,686"	"55,780"	33
	33	9300	2000033	18	擊敗樁輪發射口	0	0	LV 27  潛入戰	副本重複：殺怪數（多次）	1	是	40	40	0	1	33						33	0												40004	象城任務	2001	第二主城	40004	2140 0 2070	象城任務	2001	第二主城	8000033	8000033	8040029				8020097	8020098		8020099	47835	40819	副本	4002	33485		1	30003	6	8000	30009	6	8000	30022	1	1000	30023	1	1000	30029	2	5000					180	"10,630"	15	5	"1,115,686"	"55,780"	34
	34	9300	2000034	19	擊敗卡布長象	0	0	LV29 風管房的坦克大戰	副本重複：殺怪數（多次）	1	是	40	40	0	1	34						34	0												40004	象城任務	2001	第二主城	40004	2140 0 2070	象城任務	2001	第二主城	8000034	8000034	8040029				8020100	8020101		8020102	166368	37956	副本	8298	116458		1	30003	6	8000	30009	6	8000	30022	1	1000	30023	1	1000	30029	2	5000					360	"6,932"	30	15	"1,115,686"	"55,780"	35
	35	9300	2000035	19	擊敗憤怒坦克象	0	0	LV29 風管房的坦克大戰	副本重複：殺怪數（多次）	1	是	40	40	0	1	35						35	0												40004	象城任務	2001	第二主城	40004	2140 0 2070	象城任務	2001	第二主城	8000035	8000035	8040029				8020103	8020104		8020105	54230	28203	副本	9484	37961		1	30003	6	8000	30009	6	8000	30022	1	1000	30023	1	1000	30029	2	5000					120	"9,860"	10	10	"1,115,686"	"55,780"	36
	36	9300	2000036	20	擊敗象王	0	0	LV32收服象王戰	副本重複：殺怪數（多次）	1	是	40	40	0	1	36						36	0												40004	象城任務	2001	第二主城	40004	2140 0 2070	象城任務	2001	第二主城	8000036	8000036	8040029				8020106	8020107		8020108	233860	63686	副本	29128	163702		1	30003	6	8000	30009	6	8000	30022	1	1000	30023	1	1000	30029	2	5000					480	"42,520"	10	10	"1,115,686"	"55,780"	37
#官階任務																																																																																						38
	100	9300	2000100	1006	事件1-失蹤的軍師	34	1		不重複：特殊	0	否	1	10	0	0	100						100	0	Mission100Start	Mission100_a										40087	關勝	3	第一主城	40088	133 0 411	神秘的男孩	1014	螢火平原	8000100	8000100	3200085			8010100	8021182	8021183		8021184	3028	1927	對話	332	2120																						30						39
	101	9300	2000101	1006	事件2-變小的身體	34	3		不重複：特殊	0	否	1	15	0	0	101						101	0		Mission101_a										40087	關勝	3	第一主城	40087	3959 0 385	關勝	3	第一主城	8000101	8000101	8040035			8010101	8021185	8021186		8021187	6392	4167	跑腿	604	4474		1	30001	1	10000	30007	1	10000	30022	1	10000	30023	1	10000	30029	1	10000					30						40
	102	9300	2000102	1006	事件3-犯人的蹤跡	34	5		不重複：特殊	0	否	1	20	0	0	102						102	0		Mission102_a										40087	關勝	3	第一主城	40087	3959 0 385	關勝	3	第一主城	8000102	8000102	8040036			8010102	8021188	8021189		8021190	10777	7011	跑腿	975	7544		1	30002	1	10000	30008	1	10000	30022	1	10000	30023	1	10000	30029	1	10000					30						41
	103	9300	2000103	1006	事件4-復原的辦法	34	7		不重複：特殊	0	否	1	32	0	0	103						103	0		Mission103_a										40087	關勝	3	第一主城	40087	3959 0 385	關勝	3	第一主城	8000103	8000103	8040010			8010103	8021191	8021192		8021193	16990	97278	打怪	7284	11893		1	30002	1	10000	30008	1	10000	30022	1	10000	30023	1	10000	30029	1	10000					180						42
	104	9300	2000104	1006	事件5-黑暗的組織	34	9		不重複：特殊	0	否	1	38	0	0	104						104	0		Mission104_a										40087	關勝	3	第一主城	40087	3959 0 385	關勝	3	第一主城	8000104	8000104	3300023	1005	2116 -99 -302	8010104	8021194	8021195		8021196	1671	6342	打怪	1702	1170		1	30002	1	10000	30008	1	10000	30022	1	10000	30023	1	10000	30029	1	10000					30						43
	105	9300	2000105	1006	事件6-超毒的解藥	34	11		不重複：特殊	0	否	1	46	0	0	105						105	0		Mission105_a										40087	關勝	3	第一主城	40087	3959 0 385	關勝	3	第一主城	8000105	8000105	3300035	1008	7066 0 2363	8010105	8021197	8021198		8021199	32796	103240	打怪	26772	22957		1	30002	1	10000	30008	1	10000	30022	1	10000	30023	1	10000	30029	1	10000					300						44
	106	9300	2000106	1006	事件7-組織的逆襲	34	13		不重複：特殊	0	否	1	45	0	0	106						106	0		Mission106_a										40087	關勝	3	第一主城	40087	3959 0 385	關勝	3	第一主城	8000106	8000106	8040037			8010106	8021200	8021201		8021202	23470	30872	跑腿	2395	16429		1	30003	1	10000	30009	1	10000	30022	1	10000	30023	1	10000	30029	1	10000					30						45
	107	9300	2000107	1006	事件8-命危的軍師	34	15		不重複：特殊	1	否	1	50	0	0	107						107	0		Mission107_a										40087	關勝	3	第一主城	40087	3959 0 385	關勝	3	第一主城	8000107	8000107	3100033	1010	495 0 859	8010107	8021203	8021204		8021205	28554	375671	打怪	30631	19988		1	30003	1	10000	30009	1	10000	30022	1	10000	30023	1	10000	30029	1	10000					300						46
	108	9300	2000108	1006	事件9-組織的本營	34	17		不重複：特殊	0	否	1	50	0	0	108						108	0		Mission108_a										40087	關勝	3	第一主城	40087	3959 0 385	關勝	3	第一主城	8000108	8000108	8040011			8010108	8021206	8021207		8021208	28554	37567	跑腿	3063	19988		1	30003	1	10000	30009	1	10000	30022	1	10000	30023	1	10000	30029	1	10000					30						47
	109	9300	2000109	1006	事件10-擊破黑暗組織	34	19		不重複：特殊	1	否	1	55	0	0	109						109	0		Mission109_a										40087	關勝	3	第一主城	40087	3959 0 385	關勝	3	第一主城	8000109	8000109	3300130	1024	4800 300 4000	8010109	8021209	8021210		8021211	41364	158382	打王	38689	28955		1	30003	1	10000	30009	1	10000	30022	1	10000	30023	1	10000	30029	1	10000					300						48
	110	9300	2000110	1006	事件11-真相只有一個	34	21		不重複：特殊	1	否	1	32	0	0	110						110	0		Mission110_a										40087	關勝	3	第一主城	40087	3959 0 385	關勝	3	第一主城	8000110	8000110	3500010	3002	9213 0 -1053	8010110	8021212	8021213		8021214	27270	887990	打王	12141	19089		1	30003	1	10000	30009	1	10000	30022	1	10000	30023	1	10000	30029	1	10000					300						49
	111	9300	2000111	1006	提升官階為下士	34	2		不重複：特殊	0	否	1	10	0	0	111						111	0		Mission100End										40087	關勝	3	第一主城	40087	3959 0 385	關勝	3	第一主城	8000111	8000111	3200084			8010111	8021218	8021219		8021220	0		對話	0	0																												50
	112	9300	2000112	1006	提升官階為士官	34	4		不重複：特殊	0	否	1	15	0	0	112						112	0		Mission100End										40087	關勝	3	第一主城	40087	3959 0 385	關勝	3	第一主城	8000112	8000112	3200084			8010111	8021218	8021219		8021220	0		對話	0	0																												51
	113	9300	2000113	1006	提升官階為上士	34	6		不重複：特殊	0	否	1	20	0	0	113						113	0		Mission100End										40087	關勝	3	第一主城	40087	3959 0 385	關勝	3	第一主城	8000113	8000113	3200084			8010111	8021218	8021219		8021220	0		對話	0	0																												52
	114	9300	2000114	1006	提升官階為士官長	34	8		不重複：特殊	0	否	1	32	0	0	114						114	0		Mission100End										40087	關勝	3	第一主城	40087	3959 0 385	關勝	3	第一主城	8000114	8000114	3200084			8010111	8021218	8021219		8021220	0		對話	0	0																												53
	115	9300	2000115	1006	提升官階為騎士	34	10		不重複：特殊	0	否	1	38	0	0	115						115	0		Mission100End										40087	關勝	3	第一主城	40087	3959 0 385	關勝	3	第一主城	8000115	8000115	3200084			8010111	8021218	8021219		8021220	0		對話	0	0																												54
	116	9300	2000116	1006	提升官階為中尉騎士	34	12		不重複：特殊	0	否	1	46	0	0	116						116	0		Mission100End										40087	關勝	3	第一主城	40087	3959 0 385	關勝	3	第一主城	8000116	8000116	3200084			8010111	8021218	8021219		8021220	0		對話	0	0																												55
	117	9300	2000117	1006	提升官階為上尉騎士	34	14		不重複：特殊	0	否	1	45	0	0	117						117	0		Mission100End										40087	關勝	3	第一主城	40087	3959 0 385	關勝	3	第一主城	8000117	8000117	3200084			8010111	8021218	8021219		8021220	0		對話	0	0																												56
