#	Id	ClassId		Name		DescStringId	IsLanguageDependent	FilePath	
	項目編號	種類編號	類型	名稱		說明文字編號	語言版編號	檔案位置	檔名編號
	130020	9000	S逃跑	動物人型(滾輪滾動)				Mob_S\MobRoll_S_00020.wav	
	140020	9000	S逃跑	飛行				Mob_S\MobFly_S_00020.wav	
	150020	9000	S逃跑	爬行				Mob_S\MobCrawl_S_00020.wav	
	160020	9000	S逃跑	滑行				Mob_S\MobGlide_S_00020.wav	
	210020	9000	M逃跑	動物人型(走)				Mob_M\MobWalk_M_00020.wav	
	220020	9000	M逃跑	動物人型(跳)				Mob_M\MobJump_M_00020.wav	
	230020	9000	M逃跑	動物人型(滾輪滾動)				Mob_M\MobRoll_M_00020.wav	
	240020	9000	M逃跑	飛行				Mob_M\MobFly_M_00020.wav	
	250020	9000	M逃跑	爬行				Mob_M\MobCrawl_M_00020.wav	
	260020	9000	M逃跑	滑行				Mob_M\MobGlide_M_00020.wav	
	310020	9000	L逃跑	動物人型(走)				Mob_L\MobWalk_L_00020.wav	
	320020	9000	L逃跑	動物人型(跳)				Mob_L\MobJump_L_00020.wav	
	330020	9000	L逃跑	動物人型(滾輪滾動)				Mob_L\MobRoll_L_00020.wav	
	340020	9000	L逃跑	飛行				Mob_L\MobFly_L_00020.wav	
	350020	9000	L逃跑	爬行				Mob_L\MobCrawl_L_00020.wav	
	360020	9000	L逃跑	滑行				Mob_L\MobGlide_L_00020.wav	
	410030	9000	S移動	動物人型(走)				Mob_S\MobWalk_S_00030.wav	
	420030	9000	S移動	動物人型(跳)				Mob_S\MobJump_S_00030.wav	
	430030	9000	S移動	動物人型(滾輪滾動)				Mob_S\MobRoll_S_00030.wav	
	440030	9000	S移動	飛行				Mob_S\MobFly_S_00030.wav	
	450030	9000	S移動	爬行				Mob_S\MobCrawl_S_00030.wav	
	460030	9000	S移動	滑行				Mob_S\MobGlide_S_00030.wav	
	510030	9000	M移動	動物人型(走)				Mob_M\MobWalk_M_00030.wav	
	520030	9000	M移動	動物人型(跳)				Mob_M\MobJump_M_00030.wav	
	530030	9000	M移動	動物人型(滾輪滾動)				Mob_M\MobRoll_M_00030.wav	
	540030	9000	M移動	飛行				Mob_M\MobFly_M_00030.wav	
	550030	9000	M移動	爬行				Mob_M\MobCrawl_M_00030.wav	
	560030	9000	M移動	滑行				Mob_M\MobGlide_M_00030.wav	
	610030	9000	L移動	動物人型(走)				Mob_L\MobWalk_L_00030.wav	
	620030	9000	L移動	動物人型(跳)				Mob_L\MobJump_L_00030.wav	
	630030	9000	L移動	動物人型(滾輪滾動)				Mob_L\MobRoll_L_00030.wav	
	640030	9000	L移動	飛行				Mob_L\MobFly_L_00030.wav	
	650030	9000	L移動	爬行				Mob_L\MobCrawl_L_00030.wav	
	660030	9000	L移動	滑行				Mob_L\MobGlide_L_00030.wav	
	710050	9000	S死亡	死亡				Mob_00\MobDeath_S_00050.wav	
	720050	9000	M死亡	死亡				Mob_00\MobDeath_M_00050.wav	
	730050	9000	L死亡	死亡				Mob_00\MobDeath_L_00050.wav	
	714010	9000	S被擊中	被擊中				Mob_00\MobHurt_S_04010.wav	
	724010	9000	M被擊中	被擊中				Mob_00\MobHurt_M_04010.wav	
	734010	9000	L被擊中	被擊中				Mob_00\MobHurt_L_04010.wav	
#OBJ 5010000~6000000									
	5010050	9000	開門	兔子城閘門				Obj01_00050.wav	
	5010052	9000	關門	兔子城閘門				Obj01_00052.wav	
	5020050	9000	開門	兔子城大閘門				Obj01a_00050.wav	
	5020052	9000	關門	兔子城大閘門				Obj01a_00052.wav	
	5030050	9000	開門	上開式閘門				Obj01b_00050.wav	
	5040050	9000	開門	單片側開式閘門				Obj01c_00050.wav	
	5054010	9000	受擊	石塊				Obj02_04010.wav	
	5050050	9000	碎掉	石塊				Obj02_00050.wav	
	5064010	9000	受擊	柵欄				Obj02a_04010.wav	
	5060050	9000	裂掉	柵欄				Obj02a_00050.wav	
	5074010	9000	受擊	城門				Obj02b_04010.wav	
	5070050	9000	裂掉	城門				Obj02b_00050.wav	
	5080010	9000	拉起	上開式閘門				Obj03_00010.wav	
	5086010	9000	下擊	上開式閘門				Obj03_06010.wav	
	5090010	9000	拉起	尖刺				Obj03a_00010.wav	
	5096010	9000	下擊	尖刺				Obj03a_06010.wav	
	5100010	9000	拉起	巨槌				Obj03b_00010.wav	
	5106010	9000	下擊	巨槌				Obj03b_06010.wav	
	5116010	9000	上刺	地洞蘿蔔刺				Obj03d_06010.wav	
	5126010	9000	下墜碎開	石塊				Obj07a_06010.wav	
	5130010	9000	轉動	狼牙棒				Obj08_00010.wav	
	5140050	9000	死亡	砲台				Obj09_00050.wav	
	5144010	9000	受擊	砲台				Obj09_04010.wav	
	5146010	9000	攻擊1	砲台				Obj09_06010.wav	
	5146020	9000	攻擊2	砲台				Obj09_06020.wav	
	5150050	9000	死亡	捲笛台				Obj09b_00050.wav	
	5154010	9000	受擊	捲笛台				Obj09b_04010.wav	
	5156010	9000	攻擊1	捲笛台				Obj09b_06010.wav	
	5156020	9000	攻擊2	捲笛台				Obj09b_06020.wav	
	5160050	9000	死亡	噴火台				Obj09h_00050.wav	
	5164010	9000	受擊	噴火台				Obj09h_04010.wav	
	5166020	9000	攻擊2	噴火台				Obj09h_06020.wav	
	5170010	9000	左擺至右	斧頭				Obj10_00010.wav	
	5170020	9000	右擺至左	斧頭				Obj10_00020.wav	
	5180010	9000	待機	葫蘆砲車				Obj11_00010.wav	
	5180050	9000	死亡	葫蘆砲車				Obj11_00050.wav	
	5184010	9000	受擊	葫蘆砲車				Obj11_04010.wav	
	5190010	9000	被綁住	被綁起來的村民				Obj11e_00010.wav	
	5190050	9000	獲救	被綁起來的村民				Obj11e_00050.wav	
	5200050	9000	打開	寶箱				Obj11f_00050.wav	
	5204010	9000	受擊	寶箱				Obj11f_04010.wav	
	5210050	9000	打開	蒸籠				Obj11g_00050.wav	
	5214010	9000	受擊	蒸籠				Obj11g_04010.wav	
	5220010	9000	關閉	牢籠				Obj12_00010.wav	
	5220050	9000	打開	牢籠				Obj12_00050.wav	
	5236010	9000	技能1	香蕉堡要塞				Obj13_06010.wav	
	5236020	9000	技能2	香蕉堡要塞				Obj13_06020.wav	
	5246010	9000	技能1	鋸木機				Obj15a_06010.wav	
	5256010	9000	攻擊1	鐵板陣				Obj17_06010.wav	
	5266010	9000	攻擊1	蒸氣噴管				Obj18_06010.wav	
	5274010	9000	轉動	骰子台				Obj25_04010.wav	
	5276010	9000	攻擊1	骰子台				Obj25_06010.wav	
	5280050	9000	被擊敗	大象屁股				Obj27_00050.wav	
	5284010	9000	受擊	大象屁股				Obj27_04010.wav	
	5290050	9000	吊橋放下	吊橋				Se02_doo01_00050.wav	
	5300050	9000	打開	機關開關				Switch_00050.wav	
	5310050	9000	打開水閥	水閥開關				Switch2_00050.wav	
	5314010	9000	受擊	水閥開關				Switch2_04010.wav	
	5320050	9000	水缸破掉	水缸				Obj37_00050.wav	
	5330010	9000	轉動	風扇				Obj32_00010.wav	
	5346010	9000	噴灑	胡椒罐				Obj34_06010.wav	
#ITEM 6010000~7000000									
	6016010	9000	技能01	藥水				Item0001_06010.wav	
	6026010	9000	技能01	學技能				Item0002_06010.wav	
	6036010	9000	技能01	使用物品				Item0003_06010.wav	
#SPECIAL 7010000 ~8000000									
	7010001	9000	關卡	任務失敗				Stage_MissionFailed.wav	
	7010002	9000	關卡	任務成功				Stage_MissionSucceed.wav	
	7010003	9000	關卡	倒數警告				Stage_MissionTimeAlert.wav	
	7010004	9000	關卡	倒數				Stage_MissionTimeCountDown.wav	
	7010005	9000	關卡	StageCler				Stage_StageClear.wav	
	7010006	9000	關卡	頭銜				Stage_StageCountPoint.wav	
	7016010	9000	技能01	爆炸				Sp0001_06010.wav	
	7026010	9000	技能01	升降機關				Sp0002_06010.wav	
	7036010	9000	技能01	放屁				Sp0003_06010.wav	
	7040001	9000	技能01	煙火ABEGH				Sp0004_06010.wav	
	7040002	9000	技能01	煙火CD				Sp0005_06010.wav	
	7040003	9000	技能01	煙火FI				Sp0006_06010.wav	
	7040004	9000	特殊	相機喀擦聲				Sp0007_06010.wav	
	7040005	9000	特殊	瓶子噴水聲				Sp0008_06010.wav	
	7040006	9000	特殊	跳繩旋風聲				Sp0009_06010.wav	
	7040007	9000	特殊	跳繩撞擊聲				Sp0010_06010.wav	
	7040008	9000	特殊	咕嚕說話聲				Sp0011_06010.wav	
	7040009	9000	特殊	無線電波				Sp0012_06010.wav	
	7040010	9000	特殊	大象哭泣				Sp0013_06010.wav	
	7040011	9000	特殊	電擊聲				Sp0014_06010.wav	
	7040012	9000	特殊	心電圖				Sp0015_06010.wav	
	7040013	9000	特殊	踩泥巴聲				Sp0016_06010.wav	
	7040014	9000	特殊	發射普通圈圈				Sp0017_06010.wav	
	7040015	9000	特殊	發射神奇圈圈				Sp0018_06010.wav	
	7040016	9000	特殊	圈圈彈開(未套進)				Sp0019_06010.wav	
	7040017	9000	特殊	圈圈套進				Sp0020_06010.wav	
	7040018	9000	特殊	發射豆莢彈弓				Sp0021_06010.wav	
	7040019	9000	特殊	遊行隊伍				Sp0022_00030.wav	
#AnimalSkill 8010000 ~									
	8016010	9000	技能01	動物大絕招-兔王				Aniskill0001_06010.wav	
	8026010	9000	技能01	動物大絕招-象王				Aniskill0002_06010.wav	
	8036010	9000	技能01	動物大絕招-彪王				Aniskill0003_06010.wav	
	8046010	9000	技能01	動物大絕招-鷹王				Aniskill0004_06010.wav	
	8056010	9000	技能01	動物大絕招-貓王				Aniskill0005_06010.wav	
#UI 9010000 ~									
	9010001	9000	UI	OK/Click				UI/Click.wav	
	9010002	9000	UI	Cancel				UI/Cancel.wav	
	9010003	9000	UI	Close				UI/Close.wav	
	9010004	9000	UI	Delete				UI/Delete.wav	
	9010005	9000	UI	訊息提示/按鈕設定				UI/Tip.wav	
	9010006	9000	UI	修裝				UI/Repair.wav	
	9010007	9000	UI	金錢				UI/Money.wav	
	9010008	9000	UI	交易成功				UI/Trade.wav	
	9010009	9000	UI	穿上裝備				UI/Equip.wav	
	9010010	9000	UI	脫掉裝備				UI/TakeOff.wav	
	9010011	9000	UI	道具合併				UI/ItemMerge.wav	
	9010012	9000	UI	道具分堆				UI/ItemSeparate.wav	
	9010013	9000	UI	物品移動				UI/ItemMove.wav	
	9010014	9000	UI	衝裝成功				UI/EnchantSucceed.wav	
	9010015	9000	UI	衝裝失敗				UI/EnchantFail.wav	
	9010016	9000	UI	升級				UI/LevelUP.wav	
	9010017	9000	UI	任務接受				UI/QuestAccept.wav	
	9010018	9000	UI	任務骰寶				UI/QuestRandomItem.wav	
	9010019	9000	UI	任務回報				UI/QuestReport.wav	
	9010020	9000	UI	信件提示				UI/Mail.wav	
	9010021	9000	UI	上線提示				UI/OnLine.wav	
	9010022	9000	UI	死亡倒數				UI/CountDown.wav	
	9010023	9000	UI	官階升級				UI/RankLevelUP.wav	
	9010024	9000	UI	公會成立				UI/GuildCreate.wav	
	9010025	9000	UI	公會升級				UI/GuildLevelUP.wav	
	9010026	9000	UI	公會解散				UI/GuildDisband.wav	
#個別類(先前已經完成的版本) 9100000 ~ 10000000									
	9100020	9000	逃跑	練習木頭人				Moba0060_00020.wav	
	9100030	9000	移動	練習木頭人				Moba0060_00030.wav	
	9100050	9000	倒地	練習木頭人				Moba0060_00050.wav	
	9104010	9000	被擊中	練習木頭人				Moba0060_04010.wav	
	9106010	9000	技能1	練習木頭人				Moba0060_06010.wav	
	9160020	9000	技能2	練習木頭人				Moba0060_06020.wav	
	9200020	9000	逃跑	海膽君				Moba9101_00020.wav	
	9200030	9000	移動	海膽君				Moba9101_00030.wav	
	9200050	9000	倒地	海膽君				Moba9101_00050.wav	
	9204010	9000	被擊中	海膽君				Moba9101_04010.wav	
	9206010	9000	技能1	海膽君				Moba9101_06010.wav	
	9206020	9000	技能2	海膽君				Moba9101_06020.wav	
	9300020	9000	逃跑	熊族基本型A				Moba9001_00020.wav	
	9300030	9000	移動	熊族基本型A				Moba9001_00030.wav	
	9300050	9000	倒地	熊族基本型A				Moba9001_00050.wav	
	9304010	9000	被擊中	熊族基本型A				Moba9001_04010.wav	
	9306010	9000	技能1	熊族基本型A				Moba9001_06010.wav	
	9306020	9000	技能2	熊族基本型A				Moba9001_06020.wav	
	9400020	9000	逃跑	三色兔				Moba0001_00020.wav	
	9400030	9000	移動	三色兔				Moba0001_00030.wav	
	9400050	9000	倒地	三色兔				Moba0001_00050.wav	
	9404010	9000	被擊中	三色兔				Moba0001_04010.wav	
	9406010	9000	技能1	三色兔				Moba0001_06010.wav	
	9406020	9000	技能2	三色兔				Moba0001_06020.wav	
	9500020	9000	逃跑	裝甲兔兵				Moba0002_00020.wav	
	9500030	9000	移動	裝甲兔兵				Moba0002_00030.wav	
	9500050	9000	倒地	裝甲兔兵				Moba0002_00050.wav	
	9504010	9000	被擊中	裝甲兔兵				Moba0002_04010.wav	
	9506010	9000	技能1	裝甲兔兵				Moba0002_06010.wav	
	9506020	9000	技能2	裝甲兔兵				Moba0002_06020.wav	
	9516020	9000	技能2	裝甲兔兵				Moba0002_16020.wav	
	9600020	9000	逃跑	毒霧兔				Moba0003_00020.wav	
	9600030	9000	移動	毒霧兔				Moba0003_00030.wav	
	9600050	9000	倒地	毒霧兔				Moba0003_00050.wav	
	9604010	9000	被擊中	毒霧兔				Moba0003_04010.wav	
	9606010	9000	技能1	毒霧兔				Moba0003_06010.wav	
	9606020	9000	技能2	毒霧兔				Moba0003_06020.wav	
	9700020	9000	逃跑	跳繩兄弟兔				Moba0004_00020.wav	
	9700030	9000	移動	跳繩兄弟兔				Moba0004_00030.wav	
	9700050	9000	倒地	跳繩兄弟兔				Moba0004_00050.wav	
	9704010	9000	被擊中	跳繩兄弟兔				Moba0004_04010.wav	
	9706010	9000	技能1	跳繩兄弟兔				Moba0004_06010.wav	
	9706020	9000	技能2	跳繩兄弟兔				Moba0004_06020.wav	
	9800010	9000	待機	骷髏兔王跳跳				Npc0038_00010.wav	
	9800020	9000	逃跑	骷髏兔王跳跳				Mobb0001_00020.wav	
	9800030	9000	移動	骷髏兔王跳跳				Mobb0001_00030.wav	
	9800050	9000	倒地	骷髏兔王跳跳				Mobb0001_00050.wav	
	9804010	9000	被擊中	骷髏兔王跳跳				Mobb0001_04010.wav	
	9806010	9000	技能1	骷髏兔王跳跳				Mobb0001_06010.wav	
	9806020	9000	技能2	骷髏兔王跳跳				Mobb0001_06020.wav	
	9900001	9000	爬起	叛克將軍				Mobb9004_00001.wav	
	9900010	9000	待機A	叛克將軍				Mobb9004_00010.wav	
	9900011	9000	待機B	叛克將軍				Mobb9004_00011.wav	
	9900030	9000	移動	叛克將軍				Mobb9004_00030.wav	
	9900050	9000	倒地	叛克將軍				Mobb9004_00050.wav	
	9906010	9000	技能1	叛克將軍				Mobb9004_06010.wav	
	9906020	9000	技能2	叛克將軍				Mobb9004_06020.wav	
	9906030	9000	技能3	叛克將軍				Mobb9004_06030.wav	
#個別類 10100000 ~ 50000000									
	10106010	9000	技能1	蝗蟲騎士	蝗蟲			Mobb0068_06010.wav	
	10106020	9000	技能2	蝗蟲騎士	蝗蟲			Mobb0068_06020.wav	
	10206010	9000	技能1	覆面惡童	頑童			Mobb0069_06010.wav	
	10206020	9000	技能2	覆面惡童	頑童			Mobb0069_06020.wav	
	10306010	9000	技能1	綠蝸	蝸牛			Moba0019_06010.wav	
	10306020	9000	技能2	綠蝸	蝸牛			Moba0019_06020.wav	
	10406010	9000	技能1	披風兔	兔子			Moba0062_06010.wav	
	10416010	9000	技能1	披風兔	兔子			Moba0062_16010.wav	
	10406020	9000	技能2	披風兔	兔子			Moba0062_06020.wav	
	10416020	9000	技能2	披風兔	兔子			Moba0062_16020.wav	
	10506010	9000	技能1	獨火星/毛頭星	斑馬			Mobb0026_06010.wav	
	10506020	9000	技能2	獨火星/毛頭星	斑馬			Mobb0026_06020.wav	
	10516020	9000	技能3	獨火星/毛頭星(冰)	斑馬			Mobb0026_16020.wav	
	10526020	9000	技能4	獨火星/毛頭星(火)	斑馬			Mobb0026_26020.wav	
	10506030	9000	技能5	獨火星/毛頭星	斑馬			Mobb0026_06030.wav	
	10606010	9000	技能1	蛋黃雞	雞			Moba0086_06010.wav	
	10606020	9000	技能2	蛋黃雞	雞			Moba0086_06020.wav	
	10706010	9000	技能1	大象(一般鼻)	大象			Moba0031_06010.wav	
	10706020	9000	技能2	大象(一般鼻)	大象			Moba0031_06020.wav	
	10806010	9000	技能1	大象(皺鼻象)	大象			Moba0087_06010.wav	
	10806020	9000	技能2	大象(皺鼻象)	大象			Moba0087_06020.wav	
	10906010	9000	技能1	變色龍	變色龍			Moba0007_06010.wav	
	10906020	9000	技能2	變色龍	變色龍			Moba0007_06020.wav	
	11006010	9000	技能1	火砲蜥	變色龍			Moba0008_06010.wav	
	11006020	9000	技能2	火砲蜥	變色龍			Moba0008_06020.wav	
	11106010	9000	技能1	大象(坦克象)	大象			Moba0032_06010.wav	
	11106020	9000	技能2	大象(坦克象)	大象			Moba0032_06020.wav	
	11206010	9000	技能1	燈籠	燈籠			Mobb0070_06010.wav	
	11206020	9000	技能2	燈籠	燈籠			Mobb0070_06020.wav	
	11306010	9000	技能1	大象(象隊長)	大象			Moba0031d_06010.wav	
	11306020	9000	技能2	大象(象隊長)	大象			Moba0031d_06020.wav	
	11406010	9000	技能1	鋼盔蜥	變色龍			Mobb0009_06010.wav	
	11406020	9000	技能2	鋼盔蜥	變色龍			Mobb0009_06020.wav	
	11506010	9000	技能1	太空軍人	外星			Moba0116_06010.wav	
	11506020	9000	技能2	太空軍人	外星			Moba0116_06020.wav	
	11606010	9000	技能1	大象(坦克士官長)	大象			Moba0032d_06010.wav	
	11606020	9000	技能2	大象(坦克士官長)	大象			Moba0032d_06020.wav	
	11706010	9000	技能1	變色龍雙煞a	變色龍			Mobb0009a_06010.wav	
	11706020	9000	技能2	變色龍雙煞a	變色龍			Mobb0009a_06020.wav	
	11806010	9000	技能1	變色龍雙煞b	變色龍			Mobb0009b_06010.wav	
	11806020	9000	技能2	變色龍雙煞b	變色龍			Mobb0009b_06020.wav	
	11906010	9000	技能1	大象(胖胖象)	大象			Moba0089_06010.wav	
	11906020	9000	技能2	大象(胖胖象)	大象			Moba0089_06020.wav	
